Sex,Edad,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Males,88,20998,16231,24220,24421,22652,21458,21413,21380,21249,20966,20789,21073,21727,22721,24010,25460,26896,28233,29633,31036,32317,33643,35016,36437,37908,39430,40489,41507,42559,43725,45028
Males,89,62185,18314,17213,19157,19844,19519,19028,18804,18680,18564,18471,18506,18783,19338,20147,21172,22337,23540,24737,25941,27072,28246,29465,30730,32043,33404,34230,35106,35989,36901,37913
Males,90,0,51397,15832,14891,16587,17188,16918,16499,16312,16209,16112,16038,16073,16320,16808,17514,18407,19418,20470,21514,22503,23533,24605,25720,26879,28085,28762,29448,30202,30961,31746
Males,91,0,0,42065,13549,12754,14214,14738,14514,14160,14002,13924,13847,13785,13823,14036,14457,15069,15840,16715,17620,18478,19373,20308,21283,22300,23361,23917,24471,25054,25695,26341
Males,92,0,0,0,34068,11476,10812,12053,12500,12315,12025,11896,11830,11769,11722,11756,11945,12303,12829,13485,14232,14960,15722,16519,17353,18225,19137,19586,20015,20478,20966,21502
Males,93,0,0,0,0,27287,9608,9054,10101,10482,10333,10094,9986,9934,9889,9854,9886,10046,10348,10792,11348,11942,12564,13217,13899,14615,15363,15758,16082,16435,16815,17216
Males,94,0,0,0,0,0,21600,7947,7493,8364,8681,8565,8367,8284,8243,8211,8183,8209,8343,8596,8968,9433,9921,10431,10966,11525,12110,12430,12704,12966,13249,13556
Males,95,0,0,0,0,0,0,16880,6488,6120,6835,7097,7005,6847,6780,6752,6726,6703,6728,6838,7049,7392,7749,8122,8512,8918,9341,9640,9854,10072,10279,10504
Males,96,0,0,0,0,0,0,0,13017,5220,4930,5511,5724,5651,5528,5476,5455,5430,5413,5441,5529,5763,6006,6257,6518,6788,7068,7349,7550,7717,7888,8050
Males,97,0,0,0,0,0,0,0,0,9896,4142,3913,4377,4548,4494,4397,4356,4337,4321,4308,4331,4480,4633,4791,4952,5119,5289,5530,5723,5880,6010,6143
Males,98,0,0,0,0,0,0,0,0,0,7411,3236,3061,3422,3562,3516,3439,3408,3397,3385,3378,3457,3537,3618,3700,3783,3867,4067,4232,4380,4500,4600
Males,99,0,0,0,0,0,0,0,0,0,0,5459,2488,2355,2632,2742,2708,2647,2626,2618,2610,2639,2669,2698,2726,2755,2783,2893,3028,3151,3261,3350
Males,100,0,0,0,0,0,0,0,0,0,0,0,3954,1882,1782,1990,2074,2046,2005,1990,1984,1984,1983,1982,1980,1978,1976,2019,2089,2186,2275,2355
Males,101,0,0,0,0,0,0,0,0,0,0,0,0,2812,1403,1327,1480,1539,1526,1492,1486,1467,1447,1428,1408,1389,1369,1380,1403,1451,1519,1581
Males,102,0,0,0,0,0,0,0,0,0,0,0,0,0,1958,1025,967,1083,1126,1112,1092,1062,1033,1004,976,949,922,920,923,938,971,1016
Males,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1329,733,694,771,808,799,760,723,687,653,621,590,594,590,592,602,623
Males,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,516,489,546,569,525,484,447,412,380,350,362,363,361,362,368
Males,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,353,337,373,336,302,272,245,220,198,204,210,211,209,210
Males,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,235,226,179,141,112,88,70,55,109,112,115,115,115
Males,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,155,0,0,0,0,0,0,28,56,57,59,59
Males,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,14,27,28,28
Males,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,12
Males,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Females,0,1167057,1176672,1179795,1180549,1180421,1179044,1172515,1163437,1155631,1150310,1142325,1131482,1125683,1121281,1117292,1110442,1102920,1100662,1098605,1097152,1096610,1095779,1094670,1093272,1091590,1089615,1093923,1086739,1078850,1070425,1061494
Females,1,1146466,1157890,1165520,1168984,1170254,1170669,1169744,1163606,1155000,1148241,1140772,1131736,1123694,1118668,1114347,1109165,1102499,1097423,1096785,1094538,1093076,1091328,1089304,1086997,1084411,1081537,1082768,1087520,1080371,1072527,1064151
Females,2,1131390,1140176,1151872,1159567,1163193,1164723,1165294,1164442,1158557,1149363,1142564,1136198,1128405,1120979,1115566,1110822,1106371,1101336,1097571,1097094,1096817,1096254,1095408,1094275,1092856,1091143,1079973,1081213,1085960,1078816,1070983
Females,3,1119138,1122734,1134380,1145994,1153768,1157554,1159154,1159713,1159043,1151686,1143762,1139370,1133358,1126097,1118188,1112537,1108603,1105487,1101600,1098002,1098787,1099284,1099499,1099424,1099059,1098399,1089922,1078750,1079993,1084735,1077595
Females,4,1108838,1111184,1116869,1128337,1139956,1147859,1151639,1153174,1153860,1151143,1145951,1141314,1136620,1131059,1123404,1115156,1110138,1107481,1105409,1101583,1102345,1102819,1103008,1102909,1102517,1101829,1097300,1088824,1077662,1078908,1083647
Females,5,1099783,1105005,1106802,1112376,1123854,1135568,1143489,1147221,1148856,1148563,1146437,1142777,1138655,1134385,1128430,1120453,1112810,1108964,1107279,1105216,1105133,1104760,1104103,1103157,1101920,1100388,1100710,1096183,1087713,1076560,1077811
Females,6,1090861,1096151,1100903,1102564,1108146,1119705,1131434,1139310,1143128,1143767,1144134,1143548,1140302,1136579,1131859,1125762,1118478,1111832,1108866,1107221,1106485,1105461,1104153,1102557,1100672,1098495,1099157,1099478,1094953,1086490,1075348
Females,7,1083630,1085762,1092432,1097056,1098696,1104362,1115923,1127592,1135546,1138529,1139612,1141265,1141164,1138278,1133975,1129381,1124163,1117623,1111740,1108892,1107550,1105921,1104009,1101812,1099328,1096554,1097146,1097807,1098128,1093604,1085148
